"sexo","civil","escolaridade","escolaridade_ancora","escolaridade_ancora2","tempo_de_empresa","esta_satisfeito","carga_horaria","outra_atividade","outra_atividade_ancora","pensa_empreendedor","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","teg","tendencia_risco","tendencia_criativa","necessidade_realizacao","tendencia_autonomia","tendencia_determinacao","escolaridade_fct","sexo_fct"
1,2,2,"",1,7,1,3,1,"",1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,23,8,5,5,3,2,"ginasio","masculino"
1,1,2,"",1,2,1,2,1,"",2,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,21,4,4,5,1,7,"ginasio","masculino"
1,2,2,"",3,5,1,2,1,"",1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,29,7,7,6,4,5,"ginasio","masculino"
1,2,2,"",3,2.5,1,2,1,"",2,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,30,7,6,6,3,8,"ginasio","masculino"
1,2,2,"",3,9,1,1,1,"",1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,31,6,10,6,3,6,"ginasio","masculino"
2,2,2,"",2,2.5,1,2,1,"",3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,22,6,2,5,2,7,"ginasio","feminino"
1,2,2,"",3,2.6,1,2,1,"",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,18,4,4,4,2,4,"ginasio","masculino"
1,1,2,"",3,4,1,3,1,"",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,22,6,4,5,2,5,"ginasio","masculino"
2,1,3,"",3,11,1,2,1,"",3,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,32,8,6,6,5,7,"Colegial","feminino"
2,2,3,"",3,7,1,3,2,"Manicure",3,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,24,3,6,6,5,4,"Colegial","feminino"
1,2,3,"",3,2.5,1,3,1,"",2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,36,8,7,8,3,10,"Colegial","masculino"
1,2,3,"",3,3.5,1,3,1,"",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,36,8,7,8,3,10,"Colegial","masculino"
1,2,3,"Interrompido",2,30,1,2,1,"",3,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,30,9,8,4,3,6,"Colegial","masculino"
1,2,3,"Interrompido",2,15,2,3,1,"",4,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,30,8,6,10,2,4,"Colegial","masculino"
2,4,3,"Interrompido",2,2,2,3,1,"",3,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,27,5,6,7,3,6,"Colegial","feminino"
2,2,3,"Completo",3,3,1,1,2,"Diarista",4,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,24,5,3,7,2,7,"Colegial","feminino"
1,1,3,"",1,8,1,3,1,"",2,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,28,5,7,7,3,6,"Colegial","masculino"
2,1,3,"",3,7,1,3,1,"",2,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,35,8,6,7,5,9,"Colegial","feminino"
1,2,3,"",3,2,1,1,1,"",3,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,27,9,6,4,3,5,"Colegial","masculino"
1,2,3,"",3,1.5,1,3,1,"",2,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,26,6,5,8,3,4,"Colegial","masculino"
1,2,3,"",3,1.5,1,3,1,"",2,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,26,6,5,8,3,4,"Colegial","masculino"
1,3,3,"",1,3,1,2,1,"",1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,25,5,6,4,4,6,"Colegial","masculino"
1,2,3,"",1,11,1,3,1,"",3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,27,6,6,6,3,6,"Colegial","masculino"
2,2,3,"",3,6,1,1,1,"",3,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,31,7,6,7,3,8,"Colegial","feminino"
1,1,3,"",3,10,1,1,1,"",2,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,26,6,5,7,4,4,"Colegial","masculino"
1,1,3,"",3,9,1,1,1,"",3,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,26,5,7,6,3,5,"Colegial","masculino"
1,1,3,"",3,9,1,1,1,"",2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,25,8,4,4,2,7,"Colegial","masculino"
1,2,3,"",3,3,1,3,1,"",2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,26,6,5,6,3,6,"Colegial","masculino"
1,2,3,"",3,1,2,1,1,"",2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,27,5,7,5,4,6,"Colegial","masculino"
1,2,3,"",3,5,1,1,1,"",1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,28,4,9,7,3,5,"Colegial","masculino"
1,1,3,"",3,2,1,1,1,"",2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,28,5,7,9,3,4,"Colegial","masculino"
1,1,3,"",3,1,1,2,1,"",3,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,26,5,5,8,2,6,"Colegial","masculino"
1,4,3,"",3,5.5,1,1,1,"",3,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,29,8,4,4,4,9,"Colegial","masculino"
1,2,3,"",3,7,1,2,1,"",1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,25,6,6,9,1,3,"Colegial","masculino"
1,1,3,"",3,1,1,2,1,"",2,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,26,4,8,6,2,6,"Colegial","masculino"
1,1,3,"",3,6,3,1,1,"",3,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,28,9,3,6,4,6,"Colegial","masculino"
1,2,3,"",3,9,1,1,1,"",2,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,28,6,6,6,2,8,"Colegial","masculino"
1,2,3,"",1,7,1,1,1,"",3,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,33,7,6,9,2,9,"Colegial","masculino"
1,2,3,"",3,3,1,1,2,"Motoboy",3,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,27,5,6,5,4,7,"Colegial","masculino"
1,2,3,"",3,17,1,1,1,"",1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,26,4,7,6,4,5,"Colegial","masculino"
1,1,3,"",3,1.5,3,3,1,"",3,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,26,8,4,7,1,6,"Colegial","masculino"
1,2,3,"",3,3,1,1,1,"",2,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,31,6,6,8,3,8,"Colegial","masculino"
1,4,3,"",3,11,1,1,1,"",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,35,6,9,8,4,8,"Colegial","masculino"
1,2,3,"",2,5,1,1,1,"",2,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,34,7,7,7,4,9,"Colegial","masculino"
2,2,3,"",3,4,1,3,1,"",2,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,27,7,4,4,4,8,"Colegial","feminino"
1,2,3,"",3,5,1,1,1,"",2,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,32,6,7,8,3,8,"Colegial","masculino"
1,1,3,"",2,11,1,3,1,"",3,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,35,8,7,9,4,7,"Colegial","masculino"
1,3,3,"",3,6,1,1,1,"",1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,32,9,4,8,3,8,"Colegial","masculino"
1,2,3,"",3,5,1,1,1,"",3,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,27,4,4,8,2,9,"Colegial","masculino"
1,2,3,"",3,7,1,3,1,"",1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,27,6,4,6,4,7,"Colegial","masculino"
1,2,3,"",3,5,1,3,1,"",3,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,27,4,2,10,3,8,"Colegial","masculino"
1,2,3,"",3,8,1,1,1,"",3,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,30,4,5,10,2,9,"Colegial","masculino"
1,2,3,"",3,5,1,1,1,"",2,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,31,6,5,9,3,8,"Colegial","masculino"
2,2,3,"",3,6,1,2,1,"",3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,39,6,10,11,4,8,"Colegial","feminino"
1,2,3,"",3,10,1,2,1,"",2,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,24,2,5,7,0,10,"Colegial","masculino"
1,1,3,"",3,5,1,2,1,"",1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,24,3,3,7,1,10,"Colegial","masculino"
